"date","keyword","trends_index"
2015-01-01,"unemployment",7
2015-01-01,"gas",17
2015-01-01,"anxiety",0
2015-02-01,"unemployment",6
2015-02-01,"gas",10
2015-02-01,"anxiety",0
2015-03-01,"unemployment",6
2015-03-01,"gas",9
2015-03-01,"anxiety",0
2015-04-01,"unemployment",6
2015-04-01,"gas",8
2015-04-01,"anxiety",24
2015-05-01,"unemployment",5
2015-05-01,"gas",9
2015-05-01,"anxiety",21
2015-06-01,"unemployment",6
2015-06-01,"gas",8
2015-06-01,"anxiety",0
2015-07-01,"unemployment",6
2015-07-01,"gas",11
2015-07-01,"anxiety",0
2015-08-01,"unemployment",5
2015-08-01,"gas",12
2015-08-01,"anxiety",0
2015-09-01,"unemployment",5
2015-09-01,"gas",11
2015-09-01,"anxiety",0
2015-10-01,"unemployment",5
2015-10-01,"gas",10
2015-10-01,"anxiety",19
2015-11-01,"unemployment",5
2015-11-01,"gas",10
2015-11-01,"anxiety",0
2015-12-01,"unemployment",5
2015-12-01,"gas",10
2015-12-01,"anxiety",20
2016-01-01,"unemployment",7
2016-01-01,"gas",13
2016-01-01,"anxiety",0
2016-02-01,"unemployment",6
2016-02-01,"gas",11
2016-02-01,"anxiety",23
2016-03-01,"unemployment",5
2016-03-01,"gas",9
2016-03-01,"anxiety",36
2016-04-01,"unemployment",5
2016-04-01,"gas",9
2016-04-01,"anxiety",45
2016-05-01,"unemployment",5
2016-05-01,"gas",8
2016-05-01,"anxiety",0
2016-06-01,"unemployment",5
2016-06-01,"gas",8
2016-06-01,"anxiety",24
2016-07-01,"unemployment",5
2016-07-01,"gas",9
2016-07-01,"anxiety",21
2016-08-01,"unemployment",5
2016-08-01,"gas",8
2016-08-01,"anxiety",28
2016-09-01,"unemployment",4
2016-09-01,"gas",9
2016-09-01,"anxiety",16
2016-10-01,"unemployment",4
2016-10-01,"gas",8
2016-10-01,"anxiety",35
2016-11-01,"unemployment",5
2016-11-01,"gas",8
2016-11-01,"anxiety",57
2016-12-01,"unemployment",5
2016-12-01,"gas",8
2016-12-01,"anxiety",19
2017-01-01,"unemployment",6
2017-01-01,"gas",10
2017-01-01,"anxiety",30
2017-02-01,"unemployment",5
2017-02-01,"gas",8
2017-02-01,"anxiety",42
2017-03-01,"unemployment",5
2017-03-01,"gas",8
2017-03-01,"anxiety",38
2017-04-01,"unemployment",5
2017-04-01,"gas",9
2017-04-01,"anxiety",39
2017-05-01,"unemployment",4
2017-05-01,"gas",9
2017-05-01,"anxiety",30
2017-06-01,"unemployment",4
2017-06-01,"gas",9
2017-06-01,"anxiety",19
2017-07-01,"unemployment",5
2017-07-01,"gas",9
2017-07-01,"anxiety",24
2017-08-01,"unemployment",4
2017-08-01,"gas",10
2017-08-01,"anxiety",38
2017-09-01,"unemployment",4
2017-09-01,"gas",13
2017-09-01,"anxiety",24
2017-10-01,"unemployment",4
2017-10-01,"gas",9
2017-10-01,"anxiety",29
2017-11-01,"unemployment",4
2017-11-01,"gas",10
2017-11-01,"anxiety",30
2017-12-01,"unemployment",5
2017-12-01,"gas",10
2017-12-01,"anxiety",26
2018-01-01,"unemployment",6
2018-01-01,"gas",11
2018-01-01,"anxiety",25
2018-02-01,"unemployment",5
2018-02-01,"gas",10
2018-02-01,"anxiety",35
2018-03-01,"unemployment",4
2018-03-01,"gas",10
2018-03-01,"anxiety",31
2018-04-01,"unemployment",4
2018-04-01,"gas",12
2018-04-01,"anxiety",38
2018-05-01,"unemployment",4
2018-05-01,"gas",15
2018-05-01,"anxiety",36
2018-06-01,"unemployment",4
2018-06-01,"gas",12
2018-06-01,"anxiety",23
2018-07-01,"unemployment",5
2018-07-01,"gas",12
2018-07-01,"anxiety",20
2018-08-01,"unemployment",4
2018-08-01,"gas",11
2018-08-01,"anxiety",30
2018-09-01,"unemployment",4
2018-09-01,"gas",11
2018-09-01,"anxiety",25
2018-10-01,"unemployment",4
2018-10-01,"gas",11
2018-10-01,"anxiety",51
2018-11-01,"unemployment",4
2018-11-01,"gas",14
2018-11-01,"anxiety",28
2018-12-01,"unemployment",5
2018-12-01,"gas",14
2018-12-01,"anxiety",0
2019-01-01,"unemployment",6
2019-01-01,"gas",13
2019-01-01,"anxiety",22
2019-02-01,"unemployment",5
2019-02-01,"gas",12
2019-02-01,"anxiety",30
2019-03-01,"unemployment",4
2019-03-01,"gas",12
2019-03-01,"anxiety",26
2019-04-01,"unemployment",4
2019-04-01,"gas",16
2019-04-01,"anxiety",38
2019-05-01,"unemployment",4
2019-05-01,"gas",14
2019-05-01,"anxiety",13
2019-06-01,"unemployment",4
2019-06-01,"gas",15
2019-06-01,"anxiety",16
2019-07-01,"unemployment",5
2019-07-01,"gas",14
2019-07-01,"anxiety",27
2019-08-01,"unemployment",4
2019-08-01,"gas",13
2019-08-01,"anxiety",0
2019-09-01,"unemployment",4
2019-09-01,"gas",14
2019-09-01,"anxiety",24
2019-10-01,"unemployment",4
2019-10-01,"gas",14
2019-10-01,"anxiety",21
2019-11-01,"unemployment",4
2019-11-01,"gas",13
2019-11-01,"anxiety",26
2019-12-01,"unemployment",5
2019-12-01,"gas",12
2019-12-01,"anxiety",17
2020-01-01,"unemployment",6
2020-01-01,"gas",13
2020-01-01,"anxiety",19
2020-02-01,"unemployment",5
2020-02-01,"gas",14
2020-02-01,"anxiety",34
2020-03-01,"unemployment",44
2020-03-01,"gas",24
2020-03-01,"anxiety",53
2020-04-01,"unemployment",100
2020-04-01,"gas",23
2020-04-01,"anxiety",42
2020-05-01,"unemployment",70
2020-05-01,"gas",13
2020-05-01,"anxiety",30
2020-06-01,"unemployment",59
2020-06-01,"gas",10
2020-06-01,"anxiety",29
2020-07-01,"unemployment",59
2020-07-01,"gas",9
2020-07-01,"anxiety",24
2020-08-01,"unemployment",51
2020-08-01,"gas",10
2020-08-01,"anxiety",23
2020-09-01,"unemployment",44
2020-09-01,"gas",10
2020-09-01,"anxiety",38
2020-10-01,"unemployment",34
2020-10-01,"gas",10
2020-10-01,"anxiety",42
2020-11-01,"unemployment",27
2020-11-01,"gas",11
2020-11-01,"anxiety",26
2020-12-01,"unemployment",36
2020-12-01,"gas",10
2020-12-01,"anxiety",16
2021-01-01,"unemployment",46
2021-01-01,"gas",13
2021-01-01,"anxiety",25
2021-02-01,"unemployment",37
2021-02-01,"gas",19
2021-02-01,"anxiety",30
2021-03-01,"unemployment",35
2021-03-01,"gas",20
2021-03-01,"anxiety",19
2021-04-01,"unemployment",30
2021-04-01,"gas",14
2021-04-01,"anxiety",35
2021-05-01,"unemployment",31
2021-05-01,"gas",25
2021-05-01,"anxiety",28
2021-06-01,"unemployment",28
2021-06-01,"gas",16
2021-06-01,"anxiety",24
2021-07-01,"unemployment",24
2021-07-01,"gas",17
2021-07-01,"anxiety",0
2021-08-01,"unemployment",21
2021-08-01,"gas",16
2021-08-01,"anxiety",0
2021-09-01,"unemployment",16
2021-09-01,"gas",16
2021-09-01,"anxiety",30
2021-10-01,"unemployment",9
2021-10-01,"gas",24
2021-10-01,"anxiety",19
2021-11-01,"unemployment",8
2021-11-01,"gas",23
2021-11-01,"anxiety",25
2021-12-01,"unemployment",7
2021-12-01,"gas",17
2021-12-01,"anxiety",0
2022-01-01,"unemployment",9
2022-01-01,"gas",18
2022-01-01,"anxiety",21
2022-02-01,"unemployment",8
2022-02-01,"gas",32
2022-02-01,"anxiety",41
2022-03-01,"unemployment",7
2022-03-01,"gas",100
2022-03-01,"anxiety",44
2022-04-01,"unemployment",6
2022-04-01,"gas",35
2022-04-01,"anxiety",66
2022-05-01,"unemployment",5
2022-05-01,"gas",53
2022-05-01,"anxiety",52
2022-06-01,"unemployment",5
2022-06-01,"gas",77
2022-06-01,"anxiety",26
2022-07-01,"unemployment",6
2022-07-01,"gas",50
2022-07-01,"anxiety",28
2022-08-01,"unemployment",5
2022-08-01,"gas",37
2022-08-01,"anxiety",16
2022-09-01,"unemployment",4
2022-09-01,"gas",31
2022-09-01,"anxiety",36
2022-10-01,"unemployment",4
2022-10-01,"gas",34
2022-10-01,"anxiety",37
2022-11-01,"unemployment",5
2022-11-01,"gas",27
2022-11-01,"anxiety",49
2022-12-01,"unemployment",5
2022-12-01,"gas",28
2022-12-01,"anxiety",46
2023-01-01,"unemployment",6
2023-01-01,"gas",25
2023-01-01,"anxiety",38
2023-02-01,"unemployment",6
2023-02-01,"gas",24
2023-02-01,"anxiety",52
2023-03-01,"unemployment",5
2023-03-01,"gas",22
2023-03-01,"anxiety",66
2023-04-01,"unemployment",5
2023-04-01,"gas",25
2023-04-01,"anxiety",47
2023-05-01,"unemployment",5
2023-05-01,"gas",23
2023-05-01,"anxiety",49
2023-06-01,"unemployment",5
2023-06-01,"gas",22
2023-06-01,"anxiety",24
2023-07-01,"unemployment",5
2023-07-01,"gas",24
2023-07-01,"anxiety",21
2023-08-01,"unemployment",5
2023-08-01,"gas",24
2023-08-01,"anxiety",24
2023-09-01,"unemployment",5
2023-09-01,"gas",25
2023-09-01,"anxiety",44
2023-10-01,"unemployment",5
2023-10-01,"gas",25
2023-10-01,"anxiety",50
2023-11-01,"unemployment",5
2023-11-01,"gas",23
2023-11-01,"anxiety",57
2023-12-01,"unemployment",6
2023-12-01,"gas",22
2023-12-01,"anxiety",35
2024-01-01,"unemployment",6
2024-01-01,"gas",20
2024-01-01,"anxiety",31
2024-02-01,"unemployment",5
2024-02-01,"gas",20
2024-02-01,"anxiety",72
2024-03-01,"unemployment",5
2024-03-01,"gas",21
2024-03-01,"anxiety",73
2024-04-01,"unemployment",5
2024-04-01,"gas",23
2024-04-01,"anxiety",78
2024-05-01,"unemployment",5
2024-05-01,"gas",21
2024-05-01,"anxiety",62
2024-06-01,"unemployment",5
2024-06-01,"gas",22
2024-06-01,"anxiety",41
2024-07-01,"unemployment",5
2024-07-01,"gas",20
2024-07-01,"anxiety",36
2024-08-01,"unemployment",5
2024-08-01,"gas",20
2024-08-01,"anxiety",31
2024-09-01,"unemployment",5
2024-09-01,"gas",22
2024-09-01,"anxiety",59
2024-10-01,"unemployment",5
2024-10-01,"gas",19
2024-10-01,"anxiety",70
2024-11-01,"unemployment",5
2024-11-01,"gas",19
2024-11-01,"anxiety",100
2024-12-01,"unemployment",5
2024-12-01,"gas",17
2024-12-01,"anxiety",59
